university,policy_type,policy_title,policy_explanation,effective_year
Thammasat University,Data Protection Policy,Student Data Privacy and Protection Policy,Ensures secure handling of student data and compliance with institutional and international data protection standards.,2023
King Mongkut's University of Technology Thonburi,Data Protection Policy,Digital Information Security Policy,Ensures secure handling of student data and compliance with institutional and international data protection standards.,2019
Mahidol University,Scholarship Policy,Graduate Scholarship Allocation Policy,"Provides regulations governing scholarships, financial aid distribution, and eligibility criteria for funding support.",2024
Sorbonne University,Student Welfare Policy,Student Wellbeing and Support Policy,"Ensures access to counselling, wellbeing resources, and support services for students during their academic journey.",2024
University of Tokyo,Graduate Program Policy,Graduate Curriculum and Credit Policy,"Establishes guidelines for curriculum structure, credit requirements, and dissertation completion for postgraduate programs.",2024
Georgia Institute of Technology,Research Policy,Research Ethics and Compliance Policy,"Establishes ethical research standards, responsible data practices, and publication guidelines for researchers and postgraduate scholars.",2021
Amrita Vishwa Vidyapeetham,Research Policy,Responsible Conduct of Research Policy,"Establishes ethical research standards, responsible data practices, and publication guidelines for researchers and postgraduate scholars.",2024
Tokyo Institute of Technology,Data Protection Policy,Student Data Privacy and Protection Policy,Ensures secure handling of student data and compliance with institutional and international data protection standards.,2024
University of California Los Angeles,Graduate Program Policy,Postgraduate Program Governance Framework,"Establishes guidelines for curriculum structure, credit requirements, and dissertation completion for postgraduate programs.",2020
London School of Economics,Scholarship Policy,Merit-Based Financial Aid Policy,"Provides regulations governing scholarships, financial aid distribution, and eligibility criteria for funding support.",2022
University of California Los Angeles,Academic Integrity Policy,Graduate Academic Integrity Regulations,Outlines expectations for academic honesty and provides guidelines to prevent plagiarism and academic misconduct.,2019
Hokkaido University,Examination Policy,Examination Conduct and Grading Policy,"Specifies grading systems, examination procedures, and evaluation standards used to assess student performance.",2023
University of Chicago,Graduate Program Policy,Graduate Thesis and Dissertation Policy,"Establishes guidelines for curriculum structure, credit requirements, and dissertation completion for postgraduate programs.",2021
